Time, Size, ModelName
12,481.241,Poisson/Exponential
21,327.51,Poisson/Exponential
37,626.794,Poisson/Exponential
44,673.435,Poisson/Exponential
52,443.093,Poisson/Exponential
57,58.541,Poisson/Exponential
67,1207.15,Poisson/Exponential
81,1004.25,Poisson/Exponential
95,1207.57,Poisson/Exponential
108,986.078,Poisson/Exponential
122,433.861,Poisson/Exponential
132,83.1878,Poisson/Exponential
139,365.518,Poisson/Exponential
151,95.2507,Poisson/Exponential
155,1040.22,Poisson/Exponential
161,516.952,Poisson/Exponential
172,179.776,Poisson/Exponential
186,206.692,Poisson/Exponential
195,217.519,Poisson/Exponential
208,564.575,Poisson/Exponential
220,185.784,Poisson/Exponential
231,236.593,Poisson/Exponential
239,745.637,Poisson/Exponential
254,1285.72,Poisson/Exponential
263,223.427,Poisson/Exponential
282,25.6804,Poisson/Exponential
293,432.694,Poisson/Exponential
303,775.104,Poisson/Exponential
317,413.008,Poisson/Exponential
325,1706.51,Poisson/Exponential
340,758.659,Poisson/Exponential
349,59.317,Poisson/Exponential
359,1011.55,Poisson/Exponential
374,119.936,Poisson/Exponential
385,342.862,Poisson/Exponential
394,47.0963,Poisson/Exponential
404,286.622,Poisson/Exponential
415,561.328,Poisson/Exponential
425,319.999,Poisson/Exponential
437,567.653,Poisson/Exponential
447,805.168,Poisson/Exponential
453,1473.03,Poisson/Exponential
466,208.649,Poisson/Exponential
475,203.576,Poisson/Exponential
486,56.5319,Poisson/Exponential
496,484.824,Poisson/Exponential
