Time,Size,ModelName
10,174.037,Poisson/Exponential
21,202.651,Poisson/Exponential
32,172.573,Poisson/Exponential
42,259.683,Poisson/Exponential
60,710.926,Poisson/Exponential
67,744.183,Poisson/Exponential
80,271.546,Poisson/Exponential
88,723.702,Poisson/Exponential
97,499.829,Poisson/Exponential
101,35.1141,Poisson/Exponential
111,129.678,Poisson/Exponential
123,838.576,Poisson/Exponential
136,79.4961,Poisson/Exponential
150,282.77,Poisson/Exponential
164,367.085,Poisson/Exponential
173,2658.12,Poisson/Exponential
181,231.896,Poisson/Exponential
198,521.054,Poisson/Exponential
202,380.379,Poisson/Exponential
210,39.6511,Poisson/Exponential
222,81.5219,Poisson/Exponential
233,203.594,Poisson/Exponential
246,364.118,Poisson/Exponential
255,754.186,Poisson/Exponential
264,1143.86,Poisson/Exponential
273,185.268,Poisson/Exponential
284,520.84,Poisson/Exponential
299,1013.86,Poisson/Exponential
314,465.758,Poisson/Exponential
323,371.945,Poisson/Exponential
331,694.4,Poisson/Exponential
346,27.5514,Poisson/Exponential
355,7.45049,Poisson/Exponential
361,287.384,Poisson/Exponential
368,1127.74,Poisson/Exponential
382,697.303,Poisson/Exponential
390,230.545,Poisson/Exponential
399,679.279,Poisson/Exponential
403,863.575,Poisson/Exponential
412,934.213,Poisson/Exponential
416,2656.22,Poisson/Exponential
427,15.7241,Poisson/Exponential
437,200.417,Poisson/Exponential
440,2739.23,Poisson/Exponential
454,1920.28,Poisson/Exponential
465,8.3128,Poisson/Exponential
477,374.952,Poisson/Exponential
482,355.796,Poisson/Exponential
492,108.793,Poisson/Exponential
